id,description,name,region
1,,ground spices,EUROPE
2,,egg,EUROPE
3,,gilda star,EUROPE
4,,chopped produce,EUROPE
5,,banana,EUROPE
6,,medicinal powder,EUROPE
7,,goose down,EUROPE
8,,milk,EUROPE
9,,grape,EUROPE
10,,fig,EUROPE
11,,wool,EUROPE
12,,cherry,EUROPE
13,,pomegranate,EUROPE
14,,orange,EUROPE
15,,olive,EUROPE
16,,молотые специи,CIS
17,,яйцо,CIS
18,,дельфийская звезда,CIS
19,,нашинкованные овощи,CIS
20,,банан,CIS
21,,лекарственный порошок,CIS
22,,яблоко,CIS
23,,гусиное перо,CIS
24,,измельченные злаки,CIS
25,,молоко,CIS
26,,виноград,CIS
27,,свежевыжатый сок,CIS
28,,инжир,CIS
29,,шерсть ятты,CIS
30,,финик,CIS
31,,измельченные лепестки цветов,CIS
32,,овечья шерсть,CIS
33,,вишня,CIS
34,,гранат,CIS
35,,апельсин,CIS
36,,оливки,CIS
37,,картофель,CIS
38,,лилия,CIS
39,,лаванда,CIS
40,,азалия,CIS
41,,подсолнух,CIS
42,,морковь,CIS
43,,помидор,CIS
44,,огурец,CIS
45,,шафран,CIS
46,,рис,CIS
47,,чеснок,CIS
48,,роза,CIS
49,,просо,CIS
50,,алоэ,CIS
51,,арахис,CIS
52,,василек,CIS
53,,мята,CIS
54,,батат,CIS
55,,ремесленный молоточек,CIS
56,,густое шлифовальное масло,CIS
57,,густой лакировочный состав,CIS
58,,густое пропиточное масло,CIS
59,,сыромятная кожа,CIS
60,,упаковка строительной древесины,CIS
61,,каменный блок,CIS
62,,слиток железа,CIS
63,,утиное перо,CIS
64,,авокадо,CIS
65,,плод моринги,CIS
66,,мясной фарш,CIS
67,,лимон,CIS
68,,клубок лиловых молний,CIS
69,,вексель консорциума синей соли,CIS
70,,шкура снежного великана,CIS
71,,клык огненной кобры,CIS
72,,проклятая душа,CIS
73,,обломок древней секиры,CIS
74,,дельфийская пыль,CIS
75,,маринованые яйца,CIS
76,,банановое повидло,CIS
77,,набивка для тюфяка,CIS
78,,яблочные оладьи,CIS
79,,хрустящие лепешки,CIS
80,,виноградный джем,CIS
81,,ароматная древесина махадеби,CIS
82,,пуховик для лица,CIS
83,,притирания для кожи,CIS
84,,терпкое вишневое вино,CIS
85,,ароматические подушечки,CIS
86,,фруктовое молоко,CIS
87,,смесь специй для вина,CIS
88,,апельсиновый джем,CIS
89,,оливкое масло,CIS
90,,фруктовое печень,CIS
91,,сушеные яблочные дольки,CIS
92,,вяленые припасаы саванны,CIS
93,,мятные леденцы,CIS
94,,пряности харихараллы,CIS
95,,сладкий картофель,CIS
96,,хазирские лечебные перины,CIS
97,,вяленые припасы хазиры,CIS
98,,лекарственный сироп,CIS
99,,лавандовый чай,CIS
100,,сушоные яблоки,CIS
101,,душистый лосьон,CIS
102,,груз компоста из радужных песков,CIS
103,,груз компоста с плато соколиной охоты,CIS
104,,груз компоста с тигриного хребета,CIS
105,,груз компоста с махадеби,CIS
106,,груз компоста с полуострова рассвета,CIS
107,,груз компоста из поющей земли,CIS
108,,груз компоста из древнего леса,CIS
109,,груз компоста из инистры,CIS
110,,груз компоста из рокочущих перевалов,CIS
111,,груз компоста из саванны,CIS
112,,груз компоста из руин харихараллы,CIS
113,,груз компоста из хазиры,CIS
114,,груз компоста из багрового каньона,CIS
115,,груз компоста из долиных талых снегов,CIS
116,,сушеные семечки,CIS
117,,компост,CIS
118,,фаршированные помидоры,CIS
119,,соленые огурчики,CIS
120,,толченый шафран,CIS
121,,рисовая лапша,CIS
122,,чесночная приправа,CIS
123,,букеты роз,CIS
124,,просяная мука,CIS
125,,настойка алоэ,CIS
126,,вяленые припаса харихараллы,CIS
127,,ароматный чай,CIS
128,,мятные рогалики,CIS
129,,оладьи из батата,CIS
130,,крем с экстрактом бамбука,CIS
131,,пальмовое масло,CIS
132,,лакированные фигурки слонов,CIS
133,,глянцевые сферы с живыми светлячками,CIS
134,,расписные фигурки львов,CIS
135,,чашки из белого глазурованного фарфора,CIS
136,,глянцевитые подвески-арованы,CIS
137,,груз мерцающие фонари,CIS
138,,груз белоснежного меха,CIS
139,,груз шаманских амулетов,CIS
140,,груз резных оберегов,CIS
141,,груз декоративного оружия,CIS
